TN,FP,FN,TP,accuracy,sensitivity,specificity,precision,f1,macro_recall,macro_f1,auroc,ap,model,fold
1418,4,20,237,0.9857057772483622,0.9221789883268483,0.9971870604781997,0.983402489626556,0.9518072289156627,0.9596830244025241,0.9717078102620271,0.9931154126100685,0.9776537206682019,"CNN+BiLSTM(trained)+sent+RF, V=5000 [proposed]",4
1417,5,25,232,0.9821322215604527,0.9027237354085603,0.9964838255977496,0.9789029535864979,0.9392712550607288,0.949603780503155,0.9643981973627667,0.988083315547237,0.9673024354384159,TF-IDF + logistic regression [reference],4
1405,16,89,169,0.9374627754615843,0.6550387596899225,0.9887403237156932,0.9135135135135135,0.762979683972912,0.8218895417028078,0.8634795503912588,0.9280545417846369,0.8255136525959792,"CNN(untrained)+RF, V=100 [E1 as published]",5
1411,10,82,176,0.9452054794520548,0.6821705426356589,0.9929627023223082,0.946236559139785,0.7927927927927929,0.8375666224789835,0.8806105350374397,0.9498183395250641,0.8733141352567412,"CNN+BiLSTM(untrained)+sent+RF, V=100 [E3 as published]",5
1409,12,66,192,0.9535437760571769,0.7441860465116279,0.9915552427867699,0.9411764705882353,0.8311688311688312,0.8678706446491988,0.9021175647556863,0.9358214817603063,0.8751544612292925,"CNN+BiLSTM(trained)+sent+RF, V=100",5
1417,4,25,233,0.9827278141751042,0.9031007751937985,0.9971850809289233,0.9831223628691983,0.9414141414141414,0.9501429280613609,0.9656424531730154,0.9757704204376216,0.9579318795745011,"CNN(trained)+RF, V=5000",5
1417,4,24,234,0.9833234067897558,0.9069767441860465,0.9971850809289233,0.9831932773109243,0.9435483870967741,0.952080912557485,0.96688250941142,0.9721658511038737,0.9542155178269844,"CNN(trained)+sent+RF, V=5000",5
1415,6,23,235,0.9827278141751042,0.9108527131782945,0.995777621393385,0.975103734439834,0.9418837675350701,0.9533151672858398,0.9658701803747403,0.9751867065992395,0.9560530883838229,"CNN+BiLSTM(trained)+sent+RF, V=5000 [proposed]",5
1412,9,32,226,0.9755807027992853,0.875968992248062,0.9936664320900774,0.9617021276595744,0.9168356997971602,0.9348177121690697,0.951262527036451,0.980456496953232,0.9534733173526463,TF-IDF + logistic regression [reference],5
1417,4,95,163,0.9410363311494937,0.6317829457364341,0.9971850809289233,0.9760479041916168,0.7670588235294117,0.8144840133326787,0.866652493933134,0.9264506925464653,0.83403783415876,"CNN(untrained)+RF, V=100 [E1 as published]",6
1411,10,79,179,0.9469922572960096,0.6937984496124031,0.9929627023223082,0.9470899470899471,0.8008948545861299,0.8433805759673556,0.8851605842837897,0.9480740170968145,0.871212321320042,"CNN+BiLSTM(untrained)+sent+RF, V=100 [E3 as published]",6
1410,11,59,199,0.9583085169743896,0.7713178294573644,0.9922589725545391,0.9476190476190476,0.8504273504273505,0.8817884010059518,0.9131029485700767,0.9426528430137091,0.8847602116614538,"CNN+BiLSTM(trained)+sent+RF, V=100",6
