TN,FP,FN,TP,accuracy,sensitivity,specificity,precision,f1,macro_recall,macro_f1,auroc,ap,model,fold,cohort,rule
103,1,10,6,0.9083333333333333,0.375,0.9903846153846154,0.8571428571428571,0.5217391304347825,0.6826923076923077,0.7355239430975755,0.85546875,0.6392308501683501,CNN(untrained)+clinical+RF,5,complete-case,@0.5
104,0,10,6,0.9166666666666666,0.375,1.0,1.0,0.5454545454545454,0.6875,0.749791492910759,0.85546875,0.6392308501683501,CNN(untrained)+clinical+RF,5,complete-case,@tuned
102,2,10,6,0.9,0.375,0.9807692307692307,0.75,0.5,0.6778846153846154,0.7222222222222222,0.8245192307692308,0.5763753537246952,CNN+BiLSTM(untrained)+clinical+RF [as published],5,complete-case,@0.5
103,1,10,6,0.9083333333333333,0.375,0.9903846153846154,0.8571428571428571,0.5217391304347825,0.6826923076923077,0.7355239430975755,0.8245192307692308,0.5763753537246952,CNN+BiLSTM(untrained)+clinical+RF [as published],5,complete-case,@tuned
103,1,9,7,0.9166666666666666,0.4375,0.9903846153846154,0.875,0.5833333333333334,0.7139423076923077,0.7685185185185185,0.8608774038461539,0.6738563049677949,CNN(trained)+clinical+RF,5,complete-case,@0.5
104,0,10,6,0.9166666666666666,0.375,1.0,1.0,0.5454545454545454,0.6875,0.749791492910759,0.8608774038461539,0.6738563049677949,CNN(trained)+clinical+RF,5,complete-case,@tuned
103,1,9,7,0.9166666666666666,0.4375,0.9903846153846154,0.875,0.5833333333333334,0.7139423076923077,0.7685185185185185,0.87890625,0.6688182867618351,CNN+BiLSTM(trained)+clinical+RF [proposed],5,complete-case,@0.5
104,0,9,7,0.925,0.4375,1.0,1.0,0.6086956521739131,0.71875,0.7836104988980164,0.87890625,0.6688182867618351,CNN+BiLSTM(trained)+clinical+RF [proposed],5,complete-case,@tuned
104,0,14,2,0.8833333333333333,0.125,1.0,1.0,0.2222222222222222,0.5625,0.5795795795795796,0.9347956730769231,0.7287423740909447,RF on clinical features only [baseline],6,complete-case,@0.5
104,0,14,2,0.8833333333333333,0.125,1.0,1.0,0.2222222222222222,0.5625,0.5795795795795796,0.9347956730769231,0.7287423740909447,RF on clinical features only [baseline],6,complete-case,@tuned
103,1,10,6,0.9083333333333333,0.375,0.9903846153846154,0.8571428571428571,0.5217391304347825,0.6826923076923077,0.7355239430975755,0.924579326923077,0.7507293258212375,CNN(untrained)+clinical+RF,6,complete-case,@0.5
104,0,14,2,0.8833333333333333,0.125,1.0,1.0,0.2222222222222222,0.5625,0.5795795795795796,0.924579326923077,0.7507293258212375,CNN(untrained)+clinical+RF,6,complete-case,@tuned
102,2,11,5,0.8916666666666667,0.3125,0.9807692307692307,0.7142857142857143,0.43478260869565216,0.6466346153846154,0.6874373872971348,0.8891225961538461,0.6375359792356318,CNN+BiLSTM(untrained)+clinical+RF [as published],6,complete-case,@0.5
104,0,11,5,0.9083333333333333,0.3125,1.0,1.0,0.47619047619047616,0.65625,0.7129810828440966,0.8891225961538461,0.6375359792356318,CNN+BiLSTM(untrained)+clinical+RF [as published],6,complete-case,@tuned
104,0,10,6,0.9166666666666666,0.375,1.0,1.0,0.5454545454545454,0.6875,0.749791492910759,0.9122596153846154,0.7749327061827063,CNN(trained)+clinical+RF,6,complete-case,@0.5
104,0,12,4,0.9,0.25,1.0,1.0,0.4,0.625,0.6727272727272727,0.9122596153846154,0.7749327061827063,CNN(trained)+clinical+RF,6,complete-case,@tuned
102,2,11,5,0.8916666666666667,0.3125,0.9807692307692307,0.7142857142857143,0.43478260869565216,0.6466346153846154,0.6874373872971348,0.9161658653846154,0.6862090121136174,CNN+BiLSTM(trained)+clinical+RF [proposed],6,complete-case,@0.5
104,0,12,4,0.9,0.25,1.0,1.0,0.4,0.625,0.6727272727272727,0.9161658653846154,0.6862090121136174,CNN+BiLSTM(trained)+clinical+RF [proposed],6,complete-case,@tuned
97,6,11,6,0.8583333333333333,0.35294117647058826,0.941747572815534,0.5,0.41379310344827586,0.6473443746430612,0.6666121915345645,0.8489434608794975,0.5518784243186945,RF on clinical features only [baseline],7,complete-case,@0.5
101,2,13,4,0.875,0.23529411764705882,0.9805825242718447,0.6666666666666666,0.3478260869565218,0.6079383209594518,0.6393508314966941,0.8489434608794975,0.5518784243186945,RF on clinical features only [baseline],7,complete-case,@tuned
101,2,8,9,0.9166666666666666,0.5294117647058824,0.9805825242718447,0.8181818181818182,0.6428571428571428,0.7549971444888635,0.797843665768194,0.8580810965162764,0.6724196838602682,CNN(untrained)+clinical+RF,7,complete-case,@0.5
101,2,12,5,0.8833333333333333,0.29411764705882354,0.9805825242718447,0.7142857142857143,0.4166666666666667,0.6373500856653341,0.6759259259259259,0.8580810965162764,0.6724196838602682,CNN(untrained)+clinical+RF,7,complete-case,@tuned
102,1,9,8,0.9166666666666666,0.47058823529411764,0.9902912621359223,0.8888888888888888,0.6153846153846153,0.73043974871502,0.7843278217109992,0.8486579097658481,0.7079267090922527,CNN+BiLSTM(untrained)+clinical+RF [as published],7,complete-case,@0.5
102,1,9,8,0.9166666666666666,0.47058823529411764,0.9902912621359223,0.8888888888888888,0.6153846153846153,0.73043974871502,0.7843278217109992,0.8486579097658481,0.7079267090922527,CNN+BiLSTM(untrained)+clinical+RF [as published],7,complete-case,@tuned
100,3,7,10,0.9166666666666666,0.5882352941176471,0.970873786407767,0.7692307692307693,0.6666666666666667,0.7795545402627071,0.8095238095238095,0.8697886921758995,0.6503827349184234,CNN(trained)+clinical+RF,7,complete-case,@0.5
102,1,10,7,0.9083333333333333,0.4117647058823529,0.9902912621359223,0.875,0.56,0.7010279840091376,0.754418604651163,0.8697886921758995,0.6503827349184234,CNN(trained)+clinical+RF,7,complete-case,@tuned
100,3,8,9,0.9083333333333333,0.5294117647058824,0.970873786407767,0.75,0.6206896551724139,0.7501427755568246,0.7842784768753065,0.8680753854940034,0.647685928329692,CNN+BiLSTM(trained)+clinical+RF [proposed],7,complete-case,@0.5
101,2,8,9,0.9166666666666666,0.5294117647058824,0.9805825242718447,0.8181818181818182,0.6428571428571428,0.7549971444888635,0.797843665768194,0.8680753854940034,0.647685928329692,CNN+BiLSTM(trained)+clinical+RF [proposed],7,complete-case,@tuned
101,2,10,6,0.8991596638655462,0.375,0.9805825242718447,0.75,0.5,0.6777912621359223,0.7219626168224299,0.8646844660194174,0.5495668549352999,RF on clinical features only [baseline],8,complete-case,@0.5
102,1,14,2,0.8739495798319328,0.125,0.9902912621359223,0.6666666666666666,0.21052631578947367,0.5576456310679612,0.5710165825522711,0.8646844660194174,0.5495668549352999,RF on clinical features only [baseline],8,complete-case,@tuned
